V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
100,1e-6,1e-4,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,659.2568037673562,8.494224468124716e-5,5.168972602202569e-4,0.002115654611965459,725.4913479708397,0,0,0,0.6412349556605663,1,303923.2318914963
100,1e-6,1e-4,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,658.7634388878009,8.507248874801606e-5,5.163289502206298e-4,0.002133537824038474,725.5824052130935,0,0,0,0.6390910184659904,1,304299.4068511552
100,1e-6,1e-4,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,428.07950728899266,4.8568529701159e-6,0.007888661843989066,0,1496.1085,0,0,0,0.0010402679109475556,0.3529869285410536,467385.5866127506
100,1e-6,0.001,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,188.9997561966577,0.0029905651662122546,0,0,1496.1085,1,1,1,1,1,972659.4016492517
100,1e-6,0.001,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,189.00300792922675,0.0031770625924933396,0,0,1496.1085,1,1,1,1,1,972648.1858917809
100,1e-6,0.001,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,189.01906356969366,0.004599864832340423,0,0,1496.1085,1,1,1,1,1,972583.0389442736
100,1e-6,0.01,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,3212.533073981641,2.0455191206950883e-5,2.7775173385438087e-4,3.0089677231719326e-4,345.89803977526526,1,1,1,1,0.6184523273671255,28491.262636042196
100,1e-6,0.01,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,3212.5568457908894,2.045461991375832e-5,2.7774949114024093e-4,3.008926145971364e-4,345.8960232615481,1,1,1,1,0.6184448459063367,28491.262586032135
100,1e-6,0.01,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,3212.5446941390205,2.045546336714586e-5,2.777468191563186e-4,3.00950768200928e-4,345.89714770646606,1,1,1,1,0.6184617001068401,28491.262603492247
100,1e-5,1e-4,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,614.1921725817064,7.735141295710057e-5,5.789723818171244e-4,0.0022898502518085024,695.5216492599961,0,0,0,0.07112336788991237,0.7441029888426663,405853.82383488485
100,1e-5,1e-4,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,654.6642469230706,7.81640460639759e-5,7.747618690213358e-4,0.002140560861081984,698.8647774259966,0,0,0,0.14127919365301966,0.7768819580318861,355297.0920912488
100,1e-5,1e-4,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,793.7570738124602,7.507943001759616e-5,0.0010389045246296893,0.0016252655472284764,690.703189410785,0,0,0,0.5887790416184938,0.918583715403546,219222.55434727372
100,1e-5,0.001,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,3118.531263121028,3.9201481543582535e-5,0.0014472617659892035,0,349.7346562494981,0,0.228863890168691,0.39262969932874014,0.2094678986465507,0,21275.108238196917
100,1e-5,0.001,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,3136.578037541836,3.9217217296486225e-5,0.001431945867642836,0,348.8627991299671,0,0.236706129739258,0.3950467065059106,0.20894976229089773,0,21051.298133418895
100,1e-5,0.001,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,3361.094640781078,3.7896782348875256e-5,0.0010539537809241015,0,337.57137059964015,0,0.4403664252748756,0.5049752285541935,0.2614897908846982,0,15701.606454917282
100,1e-5,0.01,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,5598.777263823717,9.348965115890684e-5,0.1,6.820015232156377e-5,542.2606904413644,0,0.018650230333662532,0.13360436281284302,0.13011250607906003,0.09853224572618395,25062.25750457611
100,1e-5,0.01,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,3196.3534902971987,2.326902144177831e-5,9.353040077035417e-4,0,334.2552177718786,0,0.14694676275180163,0.382540276107521,0.232763810640923,0,22706.111557998498
100,1e-5,0.01,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,3431.363492429921,3.00853400450084e-4,0.001097040213951751,8.344299233279203e-4,349.03537570265235,0,0.8402757164738186,0.6050508000479071,0.24143319349014009,0,16168.110589786973
100,1e-4,1e-4,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,3410.983227701616,2.431601430417788e-5,3.9817804590442247e-4,5.938567489825731e-5,338.31567060100366,0,1,1,0.6876062623306752,0.3234930296477008,13634.627931994704
100,1e-4,1e-4,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,3401.053180332961,2.427479270676932e-5,3.9817937524429454e-4,5.4463484464044074e-5,338.73504333118416,0,1,1,0.6891434982931006,0.3249186887124093,13661.253848253547
100,1e-4,1e-4,1e-4,299.2217,0.5,0.5,0.5,0.5,0.5,3947.37534516298,3.503967622938887e-5,3.4912712671909796e-4,3.6613014920224896e-4,319.6390421835009,1,1,1,0.607719133586513,0.27570861089164905,16571.02984508515
100,1e-4,0.001,1e-6,299.2217,0.5,0.5,0.5,0.5,0.5,2200.9558653763297,3.4251914636977824e-5,3.0081138368370666e-4,0.0012323147376560805,427.56105996862806,0,1,1,1,1,39276.25238402167
100,1e-4,0.001,1e-5,299.2217,0.5,0.5,0.5,0.5,0.5,2262.975339415504,4.627839375705675e-5,2.9195220797141683e-4,0.0027257093874514323,422.31173455702753,0,1,1,1,1,38969.20662013613
