V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
100,1e-6,1e-4,1e-6,150.1678,150.1678,150.1678,150.1678,150.1678,81.30346585996449,91.92760647274554,14.291664082556963,48.50952814333141,88.4571372717619,1020.0818684297371,0.002739000927595362,1.3974758518534006e-4,0.019810244042863398,543.3322139579146,434.83548911985156,350.4621573422141,306.35875708658995,292.6785280909165,235.68445387243537,267.3521252393295,293.3888913030856,285.7364020016928,251.35396232906785,32074.769013666686
100,1e-6,1e-4,1e-5,150.1678,150.1678,150.1678,150.1678,150.1678,64.10627751611173,18.212085077539086,101.32244350388646,0.3781021200120449,56.153163369745016,3246.424106904687,0.007568606391903183,1.4793610034846244e-4,0.01072471055700259,209.7026790926013,198.8791613620751,203.5938409676286,254.83514943285638,257.9373306263965,195.78939286411938,190.79710178461227,164.82742002776263,0.3781021200120449,77.21456064511192,124154.89338899312
100,1e-6,1e-4,1e-4,150.1678,150.1678,150.1678,150.1678,150.1678,2.160799680277705,59.16211450472474,41.191889913752675,43.24025368317962,77.28961547836661,910.4595050156943,0.0030357481971896366,1.3976777703901498e-4,0.02286266245621756,602.9626250452462,477.2584665991648,377.43455678990483,322.18383595836957,301.6476126016553,237.36105279237026,271.64932946697644,302.7253174839006,301.3137802083442,270.7197159283965,32381.892365212225
100,1e-6,0.001,1e-6,150.1678,150.1678,150.1678,150.1678,150.1678,109.5718570612371,116.30154806189239,45.23949662223458,116.24820535071194,0.5206052865833044,238775.53605260156,1.650813224387062e-4,2.3780005938307087,5.86799002099926e-5,244.3169519840053,251.49177277942226,267.77568952700483,295.7541809807344,335.38970635411255,108.34392775911024,92.06606838094405,68.79614451613692,37.50800729636558,0.5206052865833044,37661.887614087755
100,1e-6,0.001,1e-5,150.1678,150.1678,150.1678,150.1678,150.1678,26.849387548863888,68.33156730048358,3.4409058932214975,69.98004295863211,27.52755543217063,1184.4458594402922,0.0017487607958252087,1.397272829998536e-4,0.0173282658539143,474.95309959541527,385.77822844605896,318.0551690420696,284.4462230000498,274.4515483835207,232.89965881613094,261.03286705445413,281.27157015503275,268.77466766178765,236.48826110280328,31903.919589711655
100,1e-6,0.001,1e-4,150.1678,150.1678,150.1678,150.1678,150.1678,111.89484329894185,75.23002333939075,38.74171488918364,60.2871320117265,69.1408895328641,1102.9110293675967,0.001704600268176287,1.3981548461498264e-4,0.017441382058915374,506.1403953037168,407.9947601713778,332.2440529465854,292.9001240290216,279.4104832134104,234.42863960457362,264.3532314110637,287.7401291263782,278.58968936366654,247.8085931989371,32141.675130895226
100,1e-6,0.01,1e-6,150.1678,150.1678,150.1678,150.1678,150.1678,107.14879671111703,31.933003021404147,106.94272122345865,88.36817390285432,34.007260613143444,1619.0859323163177,9.449044057094351e-5,0.0028337739979096455,3.814173496957461e-5,369.67379730514483,322.9113103349363,294.53584402266426,293.5249318339921,314.5725395086961,241.43741922749143,250.9082780921974,238.25051335313762,184.86270807406046,113.72324026930302,12935.560272263303
100,1e-6,0.01,1e-5,150.1678,150.1678,150.1678,150.1678,150.1678,79.12485326640308,87.99952288158238,64.79172558523715,11.745857186615467,92.54028081893921,363.2025010435528,7.976114099727831e-6,4.6303517203333385e-4,0,861.1906686230528,720.6114622278556,633.8500631622455,537.2515820896846,432.32833678880087,602.0394982549742,598.5514165766775,508.0465737035857,430.5022354610305,402.3557845264085,29963.83296863402
100,1e-6,0.01,1e-4,150.1678,150.1678,150.1678,150.1678,150.1678,57.69743808545172,91.9633758533746,85.60786946676672,40.483255963772535,74.35486852191389,1619.0847372066005,9.449029653888984e-5,0.0028337682714265656,3.81416854919628e-5,369.67393636592055,322.9114088472361,294.5359036794184,293.5249657395575,314.57254099615676,241.43751130320655,250.9083801916604,238.25062809905498,184.86280219497246,113.72333833619784,12935.560272236753
100,1e-5,1e-4,1e-6,150.1678,150.1678,150.1678,150.1678,150.1678,24.89174237474799,31.990591445937753,116.3487868476659,100.20769824273884,80.30315799638629,364.25260927990166,0,1.4013199180014694e-4,0.019347525347818452,1497.82126956681,1096.0349421331207,738.9695484399815,483.685670826201,324.6814486536058,236.37274553319327,288.4493754479551,363.299194149185,445.8125149540549,529.3106620187303,35127.50244448866
