V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
100,1e-6,1e-4,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,69234.32796930867,1.6919885873054353e-4,1.0733450239139148,2.3586085066640243e-5,508.84753485445566,525.2536431152266,556.7312962406874,612.2279964976296,689.7348503812104,60,60,60,60,60,96341.25342066129
100,1e-6,1e-4,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,117174.09132734357,1.8152336687946895e-4,1.9559000668300628,2.352859091775725e-5,504.3735049483373,521.8594303643646,554.4534089904456,610.7779403887989,688.7146107062779,60,60,60,60,60,94369.22309472521
100,1e-6,1e-4,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,91780.011975836,1.7092493747065767e-4,1.4709809322871594,2.3599170442916107e-5,510.48419106822365,527.0074940712992,558.4414704545588,613.672146551888,690.7619122103423,60,60,60,60,60,95178.42940085403
100,1e-6,0.001,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,22291.897707530956,0.01116762942880156,7.367987453787468e-5,0.11639947486700854,163.62333080177783,205.79407657565415,256.4462169165545,307.9870667690716,354.6866528924308,60,60,60,60,60,44895.885288011355
100,1e-6,0.001,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,22375.989212434175,0.01127159437727006,7.336013477329455e-5,0.11888006192298485,163.2098833375834,205.29302570003534,255.79207456963928,307.20834145008325,353.889969395361,60,60,60,60,60,44895.495145942514
100,1e-6,0.001,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,112956.54021099814,1.7619083556486166e-4,1.8420152674380272,2.3443026211698758e-5,506.0175379665597,523.2869946700673,555.6077079941576,611.658995329225,689.3693837403348,60,60,60,60,60,94520.23076438141
100,1e-6,0.01,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,150738.93919060912,1.8246139140993856e-4,2.5522501974212215,2.349219733095568e-5,504.636270749048,522.2605914056403,554.9356629873146,611.235704707575,689.0571112676349,60,60,60,60,60,93782.01722422751
100,1e-6,0.01,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,127683.24573297714,1.785866665589772e-4,2.121048807535311,2.3492099750719337e-5,506.1520205668952,523.4845488361054,555.8354089379183,611.8599302481217,689.4992345592503,60,60,60,60,60,94172.80868738091
100,1e-6,0.01,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-6,0.01,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-5,1e-4,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-5,1e-4,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-5,1e-4,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-5,1e-4,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-5,1e-4,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-5,1e-4,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-5,0.001,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,207168.0713002742,2.0319443424419406e-4,3.8060057050068656,2.363946233025916e-5,497.8838583087592,516.457220279188,550.3127967233473,607.7682704227594,686.5270542742778,60,60,60,60,60,93170.5926618555
100,1e-5,0.001,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,109491.5376599986,2.1339989758552993e-4,2.0342374183671144,2.3880888910157997e-5,494.0818974672182,512.7143176917426,546.8914692112216,604.9530636090329,684.4557780711597,60,60,60,60,60,94456.52700122572
100,1e-5,0.001,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-5,0.001,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-5,0.01,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,83125.7332621157,2.345632259563325e-4,1.6232617629698807,2.414697852984858e-5,487.9644920296444,507.0565287947665,542.0247871630487,601.1168033753705,681.6626884708227,60,60,60,60,60,95382.03062291474
100,1e-5,0.01,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,79861.24015983434,2.0035799002055321e-4,1.4045024337616783,2.3958232482257376e-5,498.6937710075077,516.4544223649169,549.651047110109,606.876459684329,685.8040321633155,60,60,60,60,60,95500.99753745798
100,1e-5,0.01,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-5,0.01,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-4,1e-4,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,22270.397978767083,0.012314248048054062,7.363907445966238e-5,0.12900010403388948,163.6613982751507,205.76514158557845,256.33750616097643,307.8065451635941,354.4638571629728,60,60,60,60,60,44881.5089331985
100,1e-4,1e-4,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,22334.509085293,0.012552868001483312,7.359521371904604e-5,0.13086938997922437,163.47642541738412,205.65551082116005,256.2921856096983,307.80771656500133,354.487859541506,60,60,60,60,60,44878.60690942167
100,1e-4,1e-4,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-4,1e-4,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-4,0.001,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-4,0.001,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-4,0.001,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-4,0.001,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-4,0.001,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-4,0.001,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-4,0.01,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-4,0.01,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-4,0.01,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-4,0.01,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
100,1e-4,0.01,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,100,1e-4,0.01,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,2e64
1000,1e-6,1e-4,1e-6,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,22059.151869795613,0.002282549807563774,7.259183562703324e-5,0.026258367366649812,163.21640205192563,204.38642267953975,254.20567736653678,305.50422690841793,352.83605943114986,60,60,60,60,60,45580.33697853914
1000,1e-6,1e-4,1e-5,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,22145.47483047751,0.0035929241570295993,7.32316310261572e-5,0.039297951672835424,163.52197553464163,205.20448779142492,255.47908521171684,306.9562494070072,354.03213018978903,60,60,60,60,60,45248.08093147458
1000,1e-6,1e-4,1e-4,326.0486,326.0486,326.0486,326.0486,326.0486,60,60,60,60,60,22050.642286218867,0.0020835545478678948,7.236341838480546e-5,0.02432647368165276,163.06750737932762,204.0887139317488,253.76594121536615,304.9968698676516,352.3874951635294,60,60,60,60,60,45673.99499186507
