ka1_0,ka2_0,kd1_0,kd2_0,ka1,ka2,kd1,kd2,SSE
100,1e-6,1e-4,1e-6,1658.6453223961,8.20500808536335e-5,0.0027336797494250547,7.075436860683064e-5,5089.9234558178805
100,1e-6,1e-4,1e-5,1658.6365923014469,8.205177389677252e-5,0.002733760793377352,7.07594584200581e-5,5089.923456817732
100,1e-6,1e-4,1e-4,1658.6483152407768,8.204969051215627e-5,0.0027336564398362947,7.075327378368545e-5,5089.923455591864
100,1e-6,0.001,1e-6,380.25356912651836,4.465389713779307e-6,0.0011054047385124046,0,9372.954314368342
100,1e-6,0.001,1e-5,878.4083498443288,6.218982609252373e-4,7.290604611637053e-4,0.021198601937931844,10990.545703900607
100,1e-6,0.001,1e-4,1658.6348948661912,8.205201103526407e-5,0.0027337744761235577,7.076011857784571e-5,5089.9234570193385
100,1e-6,0.01,1e-6,42293.909561310735,0.0012391696711662734,0.04443928825291166,0.18766814006503285,167651.34019169208
100,1e-6,0.01,1e-5,42321.65787310074,0.0012389574662918805,0.043893231250517355,0.18176176493416443,167641.2828267672
100,1e-6,0.01,1e-4,42360.818047999266,0.0012528304061023364,0.04697830967385316,0.1331780407059044,167697.58760591282
100,1e-5,1e-4,1e-6,333.4771071775775,4.028671544411182e-6,0.0011603514382436772,0,9323.416920732612
100,1e-5,1e-4,1e-5,718.3793237250372,0.0017372320413896042,7.323761679145015e-4,0.04976910546770654,11503.158913237556
100,1e-5,1e-4,1e-4,331.80267194565687,3.849694106417964e-6,0.001100285577302872,0,9564.259284797228
100,1e-5,0.001,1e-6,1658.639780595778,8.205114001658301e-5,0.0027337306628926524,7.075756057264822e-5,5089.923456406917
100,1e-5,0.001,1e-5,1658.6375024562706,8.205156549637965e-5,0.0027337519187822564,7.075878181712333e-5,5089.923456692202
100,1e-5,0.001,1e-4,1658.6363838294417,8.205165102873425e-5,0.002733759239309448,7.075898220567147e-5,5089.923456796052
100,1e-5,0.01,1e-6,28933.29335843582,0.0035360009327484454,0.04336308645619389,0.020000966262508506,167498.43002110414
100,1e-5,0.01,1e-5,28924.031822459357,0.0035412034971245734,0.04602577143187222,0.019883669073453545,167555.08879644968
100,1e-5,0.01,1e-4,29573.62470926338,0.00361819502744926,0.047281474425602286,0.014457406496025251,167586.96655360376
100,1e-4,1e-4,1e-6,1058.7680585082587,0.0018131925839617504,7.057179981030351e-4,0.024887952591361964,10066.019837095542
100,1e-4,1e-4,1e-5,1080.1916545871607,0.001977256557477636,7.020805687046324e-4,0.025944582900484188,9967.759442174261
100,1e-4,1e-4,1e-4,246.07490769498213,7.750026241791528e-7,9.280667882659255e-4,0,12438.961253617084
100,1e-4,0.001,1e-6,1658.7206337687326,8.2036680973818e-5,0.0027330069104106627,7.071476056498065e-5,5089.92346033736
100,1e-4,0.001,1e-5,1658.6856239755866,8.204288220722733e-5,0.0027333194538145564,7.073304934048732e-5,5089.9234553919305
100,1e-4,0.001,1e-4,1658.6515878617577,8.204895407695004e-5,0.0027336238140286016,7.075100070184863e-5,5089.923455321792
100,1e-4,0.01,1e-6,1658.6524383108863,8.204893786644459e-5,0.002733619017091571,7.07510595383843e-5,5089.923455286132
100,1e-4,0.01,1e-5,1658.6528122044213,8.204883839255514e-5,0.002733615063241711,7.075073248526442e-5,5089.923455257917
100,1e-4,0.01,1e-4,1658.6484796119018,8.204951725503283e-5,0.0027336514250169085,7.075271321609366e-5,5089.923455546656
1000,1e-6,1e-4,1e-6,1658.6884958090336,8.204246853930853e-5,0.0027332960053717712,7.073188181915457e-5,5089.923455591726
1000,1e-6,1e-4,1e-5,1252.7642528782176,2.1728325013465352e-5,0.0011954862978229399,0,6437.016990786615
1000,1e-6,1e-4,1e-4,1252.5515943309013,2.1711747610358e-5,0.0011931988449737948,0,6443.380969365214
1000,1e-6,0.001,1e-6,1658.6838455376794,8.204329596551022e-5,0.0027333373379318836,7.0734345313281e-5,5089.923455258521
1000,1e-6,0.001,1e-5,1658.688023900015,8.204253284259101e-5,0.0027332998695039383,7.073204650024647e-5,5089.923455556694
