ka1_0,ka2_0,kd1_0,kd2_0,ka1,ka2,kd1,kd2,SSE
100,1e-6,1e-4,1e-6,67739.76789411296,0,9.326108615430818e-5,0,73657.48596157004
100,1e-6,1e-4,1e-5,47729.345811532745,0,1.297900735110599e-4,0,61472.675515035226
100,1e-6,1e-4,1e-4,47691.92948585106,0,1.2984769058965235e-4,0,61444.827252248855
100,1e-6,0.001,1e-6,10804.096528440092,0.005343600431775079,0.11165279245620534,1.4747884418731536,125635.27116922494
100,1e-6,0.001,1e-5,2557.998194022014,0.006130255641299592,0.08551387897450535,0,125266.14862904046
100,1e-6,0.001,1e-4,4200.340345884177,0.005953351610334248,0.12485637211781646,1.3198855152981546,125664.87856484405
100,1e-6,0.01,1e-6,86939.29947482875,0.0017431677805850706,0.03771819875804148,0.1972596108480608,125424.14294421294
100,1e-6,0.01,1e-5,86948.32399592812,0.0017455704744854777,0.038398366074793466,0.1929032899515576,125430.04904663315
100,1e-6,0.01,1e-4,87045.4792391112,0.001760568932806367,0.041300002797614574,0.139746577633645,125454.11138514013
100,1e-5,1e-4,1e-6,96162.01555252424,0,7.394102621998047e-5,0,84528.09746859723
100,1e-5,1e-4,1e-5,96164.40987730924,0,7.394148261881648e-5,0,84528.80608911571
100,1e-5,1e-4,1e-4,96195.53960646591,0,7.392110430467694e-5,0,84538.19645792713
100,1e-5,0.001,1e-6,4961.580444879177,3.3253044710491347e-4,7.052322898016516e-4,0.30389145944335483,7226.496358791475
100,1e-5,0.001,1e-5,4938.923441001667,2.0571720352805012e-8,7.059043607338322e-4,0.07276800425977764,7226.042385288898
100,1e-5,0.001,1e-4,20483.895458897434,0.0026649958541440045,0.02023039529191348,8.268528725382546e-4,122762.46985337675
100,1e-5,0.01,1e-6,58929.73340505434,0.006554839885974373,0.03836730256780987,0.021715861279899648,125356.75078907714
100,1e-5,0.01,1e-5,59049.29321570732,0.006569028854223538,0.03878885309850582,0.021251715742242883,125361.19227346158
100,1e-5,0.01,1e-4,60169.644422878795,0.00669953626610508,0.04209348509509999,0.015868584454269564,125394.74977335412
100,1e-4,1e-4,1e-6,23826.063393810924,0,2.4112135529108514e-4,0,36533.34258031681
100,1e-4,1e-4,1e-5,24052.849968697534,0,2.3933866051886168e-4,0,36851.98052333414
100,1e-4,1e-4,1e-4,4981.689880666093,3.4259429128015385e-4,7.041013540829893e-4,0.2968074943185526,7226.660583929443
100,1e-4,0.001,1e-6,4437.076483734924,2.3818365172693223e-5,8.341326041425965e-4,0,6782.734663522267
100,1e-4,0.001,1e-5,3344.952191721321,3.4713118806256335e-5,0.001034337409459377,0,6607.503343171059
100,1e-4,0.001,1e-4,3349.1476005721897,3.580507133912701e-5,0.0010637099954387598,0,6435.441935157313
100,1e-4,0.01,1e-6,18465.78733677836,0.01723085548416899,0.060515795145681645,0.0039348831200644,125409.39909691717
100,1e-4,0.01,1e-5,18504.967271264242,0.017281722347848576,0.06128603514067825,0.003862224995310438,125415.09609930073
100,1e-4,0.01,1e-4,19164.482657417513,0.018053565765834754,0.06615193956861808,0.0030204200780463387,125450.42151218762
1000,1e-6,1e-4,1e-6,1888.2474729913795,2.8913079260424358e-5,0.0015929989562139374,0,7077.4988505241045
1000,1e-6,1e-4,1e-5,2782.4147188250186,3.552713921179396e-5,0.0013197534183018705,0,6561.254501496155
1000,1e-6,1e-4,1e-4,3057.611306407657,3.7808152569134695e-5,0.0011938126254430396,0,6361.564139441329
1000,1e-6,0.001,1e-6,3042.8621303094465,4.423184033753171e-5,0.0012640386873881701,0,6276.777497314893
1000,1e-6,0.001,1e-5,1913.3795573201946,1.225686886843119e-4,0.007557882640764493,1.936930514475019e-4,5684.816814789287
1000,1e-6,0.001,1e-4,1913.4554055981832,1.226316685577321e-4,0.007566772387613957,1.9383436975114484e-4,5684.816823452411
1000,1e-6,0.01,1e-6,1913.3798132686202,1.2256893450545981e-4,0.0075579177352295005,1.9369361579147298e-4,5684.816813918758
1000,1e-6,0.01,1e-5,1913.4575082498095,1.2263318385556906e-4,0.00756698114142433,1.9383769860389485e-4,5684.8168291886805
1000,1e-6,0.01,1e-4,1913.4456666556018,1.226234006359084e-4,0.007565599317533519,1.9381576033496636e-4,5684.816795959098
1000,1e-5,1e-4,1e-6,1359.3214749818787,1.6709862168924655e-5,0.0013745718879707592,0,8504.616748247285
1000,1e-5,1e-4,1e-5,1513.88549102022,2.9172574415999532e-5,0.0018195410353976026,0,7141.276874016281
1000,1e-5,1e-4,1e-4,1379.0056847339883,1.6447372773589503e-5,0.001353584496445975,0,8528.606484038672
1000,1e-5,0.001,1e-6,1447.5105055527688,4.0389883235730344e-5,0.0026332251201711494,0,6459.40606755929
1000,1e-5,0.001,1e-5,1913.376403302427,1.2256604221123088e-4,0.007557507291846446,1.9368710185924148e-4,5684.816824566308
1000,1e-5,0.001,1e-4,3215.5168236703516,4.310791420158449e-5,0.0011707441630484513,0,6281.029240152723
1000,1e-5,0.01,1e-6,1913.383785764098,1.225723242325664e-4,0.0075583988011329595,1.9370125169189398e-4,5684.816802692527
1000,1e-5,0.01,1e-5,1913.3816970068476,1.2257018736234592e-4,0.00755808526240806,1.9369632386958904e-4,5684.816809852081
1000,1e-5,0.01,1e-4,1913.3809362805027,1.2256977801515629e-4,0.007558032960241977,1.9369547553646033e-4,5684.816811106702
1000,1e-4,1e-4,1e-6,4941.498379779663,7.67823389403505e-8,7.057602344126204e-4,0.07451263387756583,7226.065798196934
1000,1e-4,1e-4,1e-5,4944.15542561411,1.0197706949504423e-6,7.055880237726906e-4,0.08113905819258828,7226.0988872637345
1000,1e-4,1e-4,1e-4,4935.877144922248,7.655780750642916e-9,7.060904288153431e-4,0.09559884890006931,7226.020280302683
1000,1e-4,0.001,1e-6,1913.387692727561,1.2257554169230075e-4,0.007558849709257744,1.9370845380315365e-4,5684.816793397964
1000,1e-4,0.001,1e-5,1913.3872560792474,1.22575066383593e-4,0.007558781465859205,1.9370735729926512e-4,5684.816794726177
1000,1e-4,0.001,1e-4,1348.055106398599,2.588422230033732e-5,0.001840277964173037,0,7446.657153644526
1000,1e-4,0.01,1e-6,1913.4455471741976,1.2262331328165388e-4,0.0075655894574682475,1.9381557005773874e-4,5684.81679576327
1000,1e-4,0.01,1e-5,1913.4468016398268,1.226243193249928e-4,0.007565729700709697,1.938178102208293e-4,5684.816798621877
1000,1e-4,0.01,1e-4,1913.452680782439,1.226290121370582e-4,0.007566387524747035,1.9382828130782263e-4,5684.816813557082
10000,1e-6,1e-4,1e-6,3137.4050589138806,3.771499320727105e-5,0.001258951492916574,0,6624.2643480492015
10000,1e-6,1e-4,1e-5,3137.13232264659,3.7662556073408294e-5,0.0012586021708437787,0,6625.830824539383
