V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
100,1e-6,1e-4,1e-6,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1970.7216666703691,1.6769479211192878e-5,3.1876746458743197e-4,0,403.6562459401106,192.3856591954305,144.8001960898854,116.21644381011455,102.05219479997943,146.0761683610749,10673.985687453089
100,1e-6,1e-4,1e-5,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1885.9672601131656,1.711976887159224e-5,3.2109364036091766e-4,0,412.74139381098547,201.52294402207156,150.51157006930447,118.34452154383453,99.67430525582037,137.3387302909269,10619.483169218607
100,1e-6,1e-4,1e-4,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,100,1e-6,1e-4,1e-4,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,2e64
100,1e-6,0.001,1e-6,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1805.889566863503,1.7267931234657013e-5,3.1408500670005146e-4,0,423.7521737572534,211.12023758598718,154.8322560847353,117.5573621592723,92.7506004390165,122.67821151286759,10629.46825516973
100,1e-6,0.001,1e-5,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1789.1460037016889,1.707009464449498e-5,3.015612957848945e-4,0,426.2854045524964,215.70375788944907,156.31377141979928,116.40304137879711,88.70958749435765,116.00869493449811,10625.690696841628
100,1e-6,0.001,1e-4,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,2061.162616430611,3.4316236500042016e-6,1.3221875975912142e-4,5.506458468612316e-4,381.13141106865567,261.37976580839694,180.71431839866722,85.72503992767628,0,5.407706056395222,12692.824996906013
100,1e-6,0.01,1e-6,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1868.7323671220847,2.5991188772711803e-5,5.139110111484366e-4,0,411.57800066392184,192.1651289425073,151.35248491167152,132.6125317248523,132.5878172425241,182.06975207408107,10964.78673806635
100,1e-6,0.01,1e-5,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1886.6793253029691,3.338993985773043e-5,6.034290214484464e-4,0,410.5479087194944,192.12654658044974,149.14971804726545,133.0435179974265,139.51697498375455,194.3562433141276,11202.57715173683
100,1e-6,0.01,1e-4,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1731.3561947330033,1.564486495177496e-4,0.004171492503639133,2.3058631892158724e-5,611.3085721811967,85.97514068388979,26.783341135459626,0,4.012198563438849,60.72642990777427,11091.66474262486
100,1e-5,1e-4,1e-6,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,2105.7988083839105,1.91368963070501e-5,4.434705024585612e-4,0,385.54615832572523,168.4593897701049,139.50455006555293,128.35638333009996,134.1983540194037,195.5891965302516,11054.191881335619
100,1e-5,1e-4,1e-5,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1778.3755185551115,1.7031695962272984e-5,2.9339662834431844e-4,0,428.61069344157215,218.61435673416494,156.63075282942006,114.69580564445086,85.00849331727218,110.53147997906122,10633.233221519331
100,1e-5,1e-4,1e-4,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1933.3138476642728,0.0062281118045310864,1.0092637378174486e-4,0.011717755825733778,219.2,434.08491767203975,344.43846738121516,325.3431475082245,347.8529641931305,413.8482307773058,14440.152306944097
100,1e-5,0.001,1e-6,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,100,1e-5,0.001,1e-6,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,2e64
100,1e-5,0.001,1e-5,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,100,1e-5,0.001,1e-5,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,2e64
100,1e-5,0.001,1e-4,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,100,1e-5,0.001,1e-4,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,2e64
100,1e-5,0.01,1e-6,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1752.7815638617326,1.7284152904417806e-4,0.004291984475396575,2.58240892172733e-5,605.5604090227393,85.4603427906837,25.618002014418636,0,6.172605129450957,64.92366769719098,11080.274335288379
100,1e-5,0.01,1e-5,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1765.785740477783,1.760877090851615e-4,0.004413737309249786,2.5888016601325448e-5,603.6327172358905,84.58148654225342,25.510921581060792,0,7.470593267510599,66.77397293603572,11070.246453717813
100,1e-5,0.01,1e-4,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1938.3457742676426,1.7644685416917175e-5,6.088050635933728e-4,0,393.30609423751804,156.93076266803268,149.95706070575636,148.87242383345705,156.32488599192007,210.10857926611294,12205.24015320082
100,1e-4,1e-4,1e-6,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1969.4415790761054,5.171110304560273e-6,1.1643924343215737e-4,0.002450984015404998,384.9741071551147,296.9539384879718,163.36170578425308,65.78179208463787,0,0,14637.351532004128
100,1e-4,1e-4,1e-5,326.0486,19.27844,34.541015,56.78065,82.4966,109.6,1968.9424580920263,5.7180968940774615e-6,1.1622959876550568e-4,0.002372498055277406,386.51128290996013,294.7191385878874,162.07265341043242,65.65539090891251,0,0,14433.238690586435
