V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
100,1e-6,1e-4,1e-6,257.5344,257.5344,257.5344,257.5344,257.5344,43.80725663155317,92.57419617846608,47.42014244198799,105.93633139505982,19.013758013024926,100,1e-6,1e-4,1e-6,257.5344,257.5344,257.5344,257.5344,257.5344,43.80725663155317,92.57419617846608,47.42014244198799,105.93633139505982,19.013758013024926,2e64
100,1e-6,1e-4,1e-5,257.5344,257.5344,257.5344,257.5344,257.5344,18.22081597521901,110.8978372067213,98.48858934827149,64.7599365748465,8.171444395557046,718.6138561046683,0.007327838591222123,1.78049533299418e-4,0.05719649508369831,1126.4895463101836,934.7557602807619,759.5252460943138,638.7713942122203,588.6050632689747,346.43326404103385,377.1272179941418,405.3907460936735,398.47615545524866,342.78338837918835,18238.74098802607
100,1e-6,1e-4,1e-4,257.5344,257.5344,257.5344,257.5344,257.5344,96.72444476746023,17.035974729806185,114.37238786369562,96.74329527653754,102.72640071809292,340.8859984766588,5.282495377057182e-5,1.806106824805908e-4,0.321869804342083,2417.5414054530825,1881.2463348470594,1330.596504790435,881.7384823477582,601.6451083220904,340.008886980311,387.7227420715028,461.717997775358,543.5504876434784,599.1160014132724,22053.67363297851
100,1e-6,0.001,1e-6,257.5344,257.5344,257.5344,257.5344,257.5344,4.0240829810500145,1.2306279502809048,27.68206120468676,26.394995721057057,90.56146720424294,100,1e-6,0.001,1e-6,257.5344,257.5344,257.5344,257.5344,257.5344,4.0240829810500145,1.2306279502809048,27.68206120468676,26.394995721057057,90.56146720424294,2e64
100,1e-6,0.001,1e-5,257.5344,257.5344,257.5344,257.5344,257.5344,113.10393322259188,77.362488666549325,35.75920988805592,91.45281951874495,93.6861247010529,100,1e-6,0.001,1e-5,257.5344,257.5344,257.5344,257.5344,257.5344,113.10393322259188,77.362488666549325,35.75920988805592,91.45281951874495,93.6861247010529,2e64
100,1e-6,0.001,1e-4,257.5344,257.5344,257.5344,257.5344,257.5344,103.1772780418396,74.15609610266984,83.5073631349951,73.77229764126241,20.30775493942201,349.6839908723961,0,1.8297153835997436e-4,0.026563137286811186,2374.77299282099,1847.4871820423732,1306.1714961973837,865.4095670388997,591.3147296838362,340.1771383759175,386.5466201469336,458.5735337260987,538.1196611434715,591.3931891707452,22001.83058501521
100,1e-6,0.01,1e-6,257.5344,257.5344,257.5344,257.5344,257.5344,117.18331740237772,115.34234158694744,3.124685324728489,45.97860513255,94.65157809667289,100,1e-6,0.01,1e-6,257.5344,257.5344,257.5344,257.5344,257.5344,117.18331740237772,115.34234158694744,3.124685324728489,45.97860513255,94.65157809667289,2e64
100,1e-6,0.01,1e-5,257.5344,257.5344,257.5344,257.5344,257.5344,14.93440537713468,105.58480815030634,112.77329024858773,78.83351384662092,54.876655312255025,371.77896802309505,4.6607676798586895e-6,5.307907187555068e-4,0,1983.6484133429374,1490.7017215036487,1177.119604579593,917.7927888615087,731.2267401395461,403.7886684159569,502.4307809054798,526.8572984584919,513.593592224715,465.37617511274266,20493.986240768867
100,1e-6,0.01,1e-4,257.5344,257.5344,257.5344,257.5344,257.5344,18.51250922307372,93.78873629495502,13.752170680090785,93.78186961635947,5.397261176258326,362.5742591057731,2.8272798084384954e-6,3.6085523387823626e-4,0,1967.729814468875,1451.9625270798988,1234.9235702478436,895.4562728704959,690.5987786543383,425.9928639647671,541.0807678000189,492.6898525168355,532.6204440433465,497.6240330075541,21313.361927121943
100,1e-5,1e-4,1e-6,257.5344,257.5344,257.5344,257.5344,257.5344,44.53924183733761,111.71104540117085,69.44477344863117,98.25313861481845,15.415397174656391,700.9261926314364,0.0034405840147069882,1.7869367213517237e-4,0.03870994534531661,1151.2608116851077,952.9119927995168,770.4360366854025,642.4854938584773,584.7162851525917,347.468802076333,378.9738192211855,409.0048090389659,405.32893735236473,354.71803132701103,18759.23332406398
