ka1_0,ka2_0,kd1_0,kd2_0,ka1,ka2,kd1,kd2,SSE
100,1e-6,1e-4,1e-6,3670.8844353573363,0.031019063476742492,9.70324994572564e-4,0.6471711863112621,12508.669166132995
100,1e-6,1e-4,1e-5,3674.2832674096508,0.07735478992950881,9.694186099556161e-4,1.6158230074213331,12506.489931312104
100,1e-6,1e-4,1e-4,3657.466525787622,0.010336729921115454,9.696776023988865e-4,0.2174023100173624,12516.00182193419
100,1e-6,0.001,1e-6,8239.060242781628,4.661068090019446e-4,0.024916302386286865,0.3724266273333697,421568.9724511802
100,1e-6,0.001,1e-5,8416.632156905054,4.5345812066798326e-4,0.02427202424702931,0.3558316570680657,421490.1534159003
100,1e-6,0.001,1e-4,8368.186435943455,4.815291643578077e-4,0.025264102870207725,0.3855614830382412,421625.034762759
100,1e-6,0.01,1e-6,66609.30536275866,0.002082592866601212,1.3639244974477353e-4,0.011768031004543864,76199.39491955303
100,1e-6,0.01,1e-5,66197.82806383794,0.002133139712562189,1.351247688585941e-4,0.013188536101641066,75661.4248375571
100,1e-6,0.01,1e-4,63911.31837490537,0.0024170390434756217,1.398659031655559e-4,0.0141666632802698,72978.29170903172
100,1e-5,1e-4,1e-6,999.4800547542542,2.1930721700405033e-5,0.01808747693815598,2.4649559740642186e-4,9560.713276627539
100,1e-5,1e-4,1e-5,761.2250296229777,1.560854277710299e-5,0.017628594072282833,2.4059432333527105e-4,9897.35797125045
100,1e-5,1e-4,1e-4,48.92547362302672,0.004948980473116658,0.03249699144597088,0.25959527184238057,28937.51798285441
100,1e-5,0.001,1e-6,4565.166620194131,8.430083573373962e-4,0.03762730236218436,0.027928744373094623,422780.51886848354
100,1e-5,0.001,1e-5,4597.974825158234,8.452377426010435e-4,0.03745871038804092,0.027650743626338993,422766.82653065166
100,1e-5,0.001,1e-4,4630.100587405032,8.815627926295452e-4,0.038301196269946255,0.028081327298611552,422844.83652996575
100,1e-5,0.01,1e-6,9044.290561628695,9.519955632834294e-4,0.028646409021083966,0.006225227450933765,422098.4961886246
100,1e-5,0.01,1e-5,9138.67380207495,9.620294524292165e-4,0.0287514706640932,0.006091127983780095,422116.61281392915
100,1e-5,0.01,1e-4,10201.872423248284,0.0010738342110368259,0.029087430886574457,0.004599259455579887,422218.5880902412
100,1e-4,1e-4,1e-6,1841.7104916955027,4.777434484674136e-5,0.025880448773526812,2.467311620097015e-4,9085.916884168208
100,1e-4,1e-4,1e-5,1841.7254906365476,4.777470277634163e-5,0.025880820102759435,2.4673063496643606e-4,9085.916880328185
100,1e-4,1e-4,1e-4,100,1e-4,1e-4,1e-4,2e64
100,1e-4,0.001,1e-6,1841.7533732709135,4.7775356156131154e-5,0.025881509800283593,2.467296068679516e-4,9085.91687398122
100,1e-4,0.001,1e-5,1841.7511584602853,4.777531187386864e-5,0.0258814505507203,2.467297244233558e-4,9085.916874479619
100,1e-4,0.001,1e-4,1841.6858895378086,4.7773786098258256e-5,0.025879823989092464,2.4673212214506993e-4,9085.916891214856
100,1e-4,0.01,1e-6,1841.7242202694401,4.777469057657977e-5,0.025880773722827932,2.4673075043554337e-4,9085.916880773102
100,1e-4,0.01,1e-5,1841.7728752978812,4.777576925502211e-5,0.025882034979945304,2.467287598452969e-4,9085.916908543042
100,1e-4,0.01,1e-4,3670.2955522763973,0.04933353869056378,9.709520464451633e-4,1.0284229730719145,12507.326799134029
1000,1e-6,1e-4,1e-6,2674.1293362959614,1.5978605560142163e-5,0.0010153530403670262,0,12000.470958852071
1000,1e-6,1e-4,1e-5,2610.0707563203237,1.6141902936040797e-5,0.001049266693732691,0,12034.484146573282
1000,1e-6,1e-4,1e-4,2681.183129326216,1.4885719299776995e-5,0.0010089160023092304,0,12266.70209906287
1000,1e-6,0.001,1e-6,1841.7984019515013,4.7776362651259206e-5,0.02588266302424745,2.4672777415099637e-4,9085.916904302756
1000,1e-6,0.001,1e-5,1841.7972431540693,4.777635276645215e-5,0.02588262934356693,2.467279001062928e-4,9085.916904506883
1000,1e-6,0.001,1e-4,1841.8017926118941,4.777648481905216e-5,0.02588272968789551,2.467278433910919e-4,9085.916903877727
1000,1e-6,0.01,1e-6,1841.6636917934302,4.777330207247305e-5,0.02587923371377092,2.467330399390193e-4,9085.916898605736
1000,1e-6,0.01,1e-5,1841.7032657838593,4.7774197760888794e-5,0.025880251448007055,2.4673149393389116e-4,9085.91688626254
1000,1e-6,0.01,1e-4,1841.7710522937984,4.7775773420146784e-5,0.025881951714794033,2.467289809020036e-4,9085.916909102109
1000,1e-5,1e-4,1e-6,1841.771801274587,4.7775775546135513e-5,0.025881988445653294,2.4672892049725366e-4,9085.91690886187
1000,1e-5,1e-4,1e-5,1841.768845179886,4.777569117350112e-5,0.02588191656462093,2.467289454666385e-4,9085.916909409469
1000,1e-5,1e-4,1e-4,1841.798769129677,4.777636682676494e-5,0.025882688765430664,2.4672778592702883e-4,9085.916904165671
1000,1e-5,0.001,1e-6,1841.7084254214217,4.7774328659248986e-5,0.02588037740556691,2.467313529511978e-4,9085.916884880913
1000,1e-5,0.001,1e-5,1841.7241227991426,4.777470950021791e-5,0.025880755701700044,2.467308100888611e-4,9085.916880901246
