"X...1"	"X...3"	"X...5"	"X...7"	"X...9"	"X...11"	"X...13"	"X...15"	"X...17"	"X...19"	"X...21"	"X...23"	"X...25"	"X...27"	"X...29"	"X...31"	"X...33"	"X...35"	"X...37"	"X...39"	"X...41"	"X...43"	"X...45"	"X...47"	"X...49"	"X...51"	"X...53"	"X...55"	"X...57"	"X...59"	"X...61"	"X...63"	"X...65"	"X...67"	"X...69"	"X...71"	"X...73"	"X...75"	"X...77"	"X...79"	"X...81"	"X...83"	"X...85"	"X...87"	"X...89"	"X...91"	"X...93"	"X...95"	"X...97"	"X...99"	"X...101"	"X...103"	"X...105"	"X...107"	"X...109"	"X...111"	"X...113"	"X...115"	"X...117"	"X...119"	"X...121"	"X...123"	"X...125"	"X...127"	"X...129"	"X...131"	"X...133"	"X...135"	"X...137"	"X...139"	"X...141"	"X...143"	"X...145"	"X...147"	"X...149"	"X...151"	"X...153"	"X...155"
617.2498	620.7648	614.3573	615.5106	616.6965	615.6232	621.9077	618.8065	622.6158	625.6571	620.0652	620.8958	620.3658	617.2498	620.7648	614.3573	615.5106	616.6965	615.6232	621.9077	618.8065	622.6158	625.6571	620.0652	620.8958	620.3658	617.2498	620.7648	614.3573	615.5106	616.6965	615.6232	621.9077	618.8065	622.6158	625.6571	620.0652	620.8958	620.3658	617.2498	620.7648	614.3573	615.5106	616.6965	615.6232	621.9077	618.8065	622.6158	625.6571	620.0652	620.8958	620.3658	617.2498	620.7648	614.3573	615.5106	616.6965	615.6232	621.9077	618.8065	622.6158	625.6571	620.0652	620.8958	620.3658	617.2498	620.7648	614.3573	615.5106	616.6965	615.6232	621.9077	618.8065	622.6158	625.6571	620.0652	620.8958	620.3658
619.5154	622.9836	616.576	617.7294	618.8997	617.842	624.1421	621.0409	624.8346	627.8914	622.2839	623.4426	622.5689	619.5154	622.9836	616.576	617.7294	618.8997	617.842	624.1421	621.0409	624.8346	627.8914	622.2839	623.4426	622.5689	619.5154	622.9836	616.576	617.7294	618.8997	617.842	624.1421	621.0409	624.8346	627.8914	622.2839	623.4426	622.5689	619.5154	622.9836	616.576	617.7294	618.8997	617.842	624.1421	621.0409	624.8346	627.8914	622.2839	623.4426	622.5689	619.5154	622.9836	616.576	617.7294	618.8997	617.842	624.1421	621.0409	624.8346	627.8914	622.2839	623.4426	622.5689	619.5154	622.9836	616.576	617.7294	618.8997	617.842	624.1421	621.0409	624.8346	627.8914	622.2839	623.4426	622.5689
621.8435	625.1867	618.7792	619.9426	621.0872	620.0607	626.3608	623.244	627.0846	630.1258	624.5027	625.6926	624.7877	621.8435	625.1867	618.7792	619.9426	621.0872	620.0607	626.3608	623.244	627.0846	630.1258	624.5027	625.6926	624.7877	621.8435	625.1867	618.7792	619.9426	621.0872	620.0607	626.3608	623.244	627.0846	630.1258	624.5027	625.6926	624.7877	621.8435	625.1867	618.7792	619.9426	621.0872	620.0607	626.3608	623.244	627.0846	630.1258	624.5027	625.6926	624.7877	621.8435	625.1867	618.7792	619.9426	621.0872	620.0607	626.3608	623.244	627.0846	630.1258	624.5027	625.6926	624.7877	621.8435	625.1867	618.7792	619.9426	621.0872	620.0607	626.3608	623.244	627.0846	630.1258	624.5027	625.6926	624.7877
624.1248	627.6086	620.9979	622.1769	623.2903	622.295	628.6108	625.4471	629.2721	632.3602	626.7527	628.0519	627.0065	624.1248	627.6086	620.9979	622.1769	623.2903	622.295	628.6108	625.4471	629.2721	632.3602	626.7527	628.0519	627.0065	624.1248	627.6086	620.9979	622.1769	623.2903	622.295	628.6108	625.4471	629.2721	632.3602	626.7527	628.0519	627.0065	624.1248	627.6086	620.9979	622.1769	623.2903	622.295	628.6108	625.4471	629.2721	632.3602	626.7527	628.0519	627.0065	624.1248	627.6086	620.9979	622.1769	623.2903	622.295	628.6108	625.4471	629.2721	632.3602	626.7527	628.0519	627.0065	624.1248	627.6086	620.9979	622.1769	623.2903	622.295	628.6108	625.4471	629.2721	632.3602	626.7527	628.0519	627.0065
626.3279	629.9055	623.2167	624.3644	625.509	624.4982	630.8296	627.6503	631.4908	634.5789	628.9714	630.302	629.2252	626.3279	629.9055	623.2167	624.3644	625.509	624.4982	630.8296	627.6503	631.4908	634.5789	628.9714	630.302	629.2252	626.3279	629.9055	623.2167	624.3644	625.509	624.4982	630.8296	627.6503	631.4908	634.5789	628.9714	630.302	629.2252	626.3279	629.9055	623.2167	624.3644	625.509	624.4982	630.8296	627.6503	631.4908	634.5789	628.9714	630.302	629.2252	626.3279	629.9055	623.2167	624.3644	625.509	624.4982	630.8296	627.6503	631.4908	634.5789	628.9714	630.302	629.2252	626.3279	629.9055	623.2167	624.3644	625.509	624.4982	630.8296	627.6503	631.4908	634.5789	628.9714	630.302	629.2252
628.6716	632.1555	625.4354	626.5833	627.7122	626.7014	633.0327	629.869	633.7252	636.7977	631.1745	632.5208	631.569	628.6716	632.1555	625.4354	626.5833	627.7122	626.7014	633.0327	629.869	633.7252	636.7977	631.1745	632.5208	631.569	628.6716	632.1555	625.4354	626.5833	627.7122	626.7014	633.0327	629.869	633.7252	636.7977	631.1745	632.5208	631.569	628.6716	632.1555	625.4354	626.5833	627.7122	626.7014	633.0327	629.869	633.7252	636.7977	631.1745	632.5208	631.569	628.6716	632.1555	625.4354	626.5833	627.7122	626.7014	633.0327	629.869	633.7252	636.7977	631.1745	632.5208	631.569	628.6716	632.1555	625.4354	626.5833	627.7122	626.7014	633.0327	629.869	633.7252	636.7977	631.1745	632.5208	631.569
631.1404	634.3742	627.6542	628.7864	629.9153	628.8889	635.2515	632.0878	635.9439	639.0164	633.4089	634.8957	634.0377	631.1404	634.3742	627.6542	628.7864	629.9153	628.8889	635.2515	632.0878	635.9439	639.0164	633.4089	634.8957	634.0377	631.1404	634.3742	627.6542	628.7864	629.9153	628.8889	635.2515	632.0878	635.9439	639.0164	633.4089	634.8957	634.0377	631.1404	634.3742	627.6542	628.7864	629.9153	628.8889	635.2515	632.0878	635.9439	639.0164	633.4089	634.8957	634.0377	631.1404	634.3742	627.6542	628.7864	629.9153	628.8889	635.2515	632.0878	635.9439	639.0164	633.4089	634.8957	634.0377	631.1404	634.3742	627.6542	628.7864	629.9153	628.8889	635.2515	632.0878	635.9439	639.0164	633.4089	634.8957	634.0377
633.406	636.7492	629.9042	631.0051	632.1183	631.1076	637.4702	634.2909	638.1783	641.2352	635.6276	637.3801	636.2565	633.406	636.7492	629.9042	631.0051	632.1183	631.1076	637.4702	634.2909	638.1783	641.2352	635.6276	637.3801	636.2565	633.406	636.7492	629.9042	631.0051	632.1183	631.1076	637.4702	634.2909	638.1783	641.2352	635.6276	637.3801	636.2565	633.406	636.7492	629.9042	631.0051	632.1183	631.1076	637.4702	634.2909	638.1783	641.2352	635.6276	637.3801	636.2565	633.406	636.7492	629.9042	631.0051	632.1183	631.1076	637.4702	634.2909	638.1783	641.2352	635.6276	637.3801	636.2565	633.406	636.7492	629.9042	631.0051	632.1183	631.1076	637.4702	634.2909	638.1783	641.2352	635.6276	637.3801	636.2565
635.9528	639.2648	632.1229	633.2239	634.3528	633.3107	639.689	636.494	640.4127	643.4383	637.8307	639.5988	638.5846	635.9528	639.2648	632.1229	633.2239	634.3528	633.3107	639.689	636.494	640.4127	643.4383	637.8307	639.5988	638.5846	635.9528	639.2648	632.1229	633.2239	634.3528	633.3107	639.689	636.494	640.4127	643.4383	637.8307	639.5988	638.5846	635.9528	639.2648	632.1229	633.2239	634.3528	633.3107	639.689	636.494	640.4127	643.4383	637.8307	639.5988	638.5846	635.9528	639.2648	632.1229	633.2239	634.3528	633.3107	639.689	636.494	640.4127	643.4383	637.8307	639.5988	638.5846	635.9528	639.2648	632.1229	633.2239	634.3528	633.3107	639.689	636.494	640.4127	643.4383	637.8307	639.5988	638.5846
638.2184	641.5148	634.326	635.4426	636.5872	635.5295	641.8921	638.744	642.6314	645.8914	640.0339	641.9113	641.0065	638.2184	641.5148	634.326	635.4426	636.5872	635.5295	641.8921	638.744	642.6314	645.8914	640.0339	641.9113	641.0065	638.2184	641.5148	634.326	635.4426	636.5872	635.5295	641.8921	638.744	642.6314	645.8914	640.0339	641.9113	641.0065	638.2184	641.5148	634.326	635.4426	636.5872	635.5295	641.8921	638.744	642.6314	645.8914	640.0339	641.9113	641.0065	638.2184	641.5148	634.326	635.4426	636.5872	635.5295	641.8921	638.744	642.6314	645.8914	640.0339	641.9113	641.0065	638.2184	641.5148	634.326	635.4426	636.5872	635.5295	641.8921	638.744	642.6314	645.8914	640.0339	641.9113	641.0065
