X...11,X...13,X...15,X...17,X...19,X...31,X...33,X...35,X...37,X...39,X...51,X...53,X...55,X...57,X...59,X...71,X...73,X...75,X...77,X...79,X...91,X...93,X...95,X...97,X...99,X...111,X...113,X...115,X...117,X...119,X...131,X...133,X...135,X...137,X...139,X...151,X...153,X...155,X...157,X...159,X...171,X...173,X...175,X...177,X...179,X...191,X...193,X...195,X...197,X...199,X...211,X...213,X...215,X...217,X...219,X...231,X...233,X...235,X...237,X...239,X...251,X...253,X...255,X...257,X...259,X...271,X...273,X...275,X...277,X...279
23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343,23.82208,22.23434,23.4261,22.60931,24.2343
26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992,26.02521,24.46872,25.64483,24.81241,26.74992
28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429,28.25957,26.70309,27.86361,27.04675,28.98429
30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742,30.47832,28.93745,30.08232,29.26554,31.68742
32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428,32.68144,31.14057,32.30108,31.49991,33.98428
34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115,34.90018,33.35931,34.48857,33.71864,36.53115
37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238,37.11891,35.57805,36.72293,35.93739,38.81238
39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489,39.32204,37.79676,38.94168,38.15614,41.12489
41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237,41.54075,40.01553,41.16038,40.35925,43.56237
43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358,43.75953,42.23428,43.36354,42.578,46.09358
45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233,45.96265,44.4374,45.60202,44.7967,48.31233
48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362,48.18139,46.65611,47.80513,46.99985,50.84362
50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486,50.40013,48.85923,50.03951,49.21859,53.37486
52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609,52.60326,51.07801,52.27387,51.4373,55.65609
54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592,54.83761,53.29676,54.49261,53.65607,58.3592
57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045,57.05633,55.51545,56.72697,55.87482,60.64045
